lng	lat	fecha	evento	domicilio
-62.26173	-38.71275	2016/01/04 08:02:22	14	AVDA ALEM esq. SARMIENTO
-62.25741	-38.73027	2016/01/04 08:05:20	3	MISIONES 
-62.32494	-38.6957	2016/01/04 08:23:51	3	ALFREDO LORENZO PALACIOS 150
-62.30594	-38.69582	2016/01/04 08:36:50	0	LA ARCADA 300
-62.28324	-38.6938	2016/01/04 08:58:10	3	PANAMA 210
-62.3006	-38.72218	2016/01/04 09:06:46	6	JUJUY esq. PARANA
-62.27245	-38.75537	2016/01/04 09:21:56	3	LOS PATOS 240
-62.26675	-38.78257	2016/01/04 09:22:24	6	AVDA GRAL SAN MARTIN 360
-62.25726	-38.72994	2016/01/04 09:32:40	3	SAAVEDRA 900
-62.26789	-38.75585	2016/01/04 09:33:57	3	VENEZUELA 210
-62.29538	-38.73093	2016/01/04 09:58:24	3	PATRICIOS 180
-62.29058	-38.70933	2016/01/04 09:59:37	6	CMTE ANTONIO MANUEL DE MOLINA 300
-62.25983	-38.7233	2016/01/04 10:13:35	3	UNDIANO esq. CHICLANA
-62.29133	-38.72424	2016/01/04 10:25:44	3	DON BOSCO esq. JUAN MOLINA
-62.29431	-38.70467	2016/01/04 10:38:31	7	17 DE MAYO 300
-62.21801	-38.7143	2016/01/04 10:44:32	7	RUFINO LURO CAMBACERES 180
-62.22068	-38.73361	2016/01/04 10:44:43	3	HUMBOLDT 300
-62.25281	-38.71123	2016/01/04 11:18:23	3	RINCON 300
-62.2676	-38.71567	2016/01/04 11:57:04	3	CORONEL MARTINIANO RODRIGUEZ 
-62.26241	-38.72132	2016/01/04 12:13:04	3	CHICLANA 300
-62.29664	-38.69774	2016/01/04 12:22:02	3	POSTA ROLANDO 240
-62.30441	-38.70141	2016/01/04 12:37:51	3	TUCUMAN 270
-62.28761	-38.70549	2016/01/04 13:09:14	6	CNEL MALDONADO 
-62.21735	-38.72337	2016/01/04 14:53:16	3	CIR MAYOR DIEGO PAROISSIEN 240
-62.29868	-38.71048	2016/01/04 15:04:58	0	DR SIXTO LASPIUR esq. AVDA LA PLATA
-62.2559	-38.71481	2016/01/04 15:23:29	3	LAS HERAS 600
-62.25344	-38.71917	2016/01/04 15:48:38	3	CORRIENTES 600
-62.26749	-38.7148	2016/01/04 17:46:55	6	ZELARRAYAN 
-62.27868	-38.68532	2016/01/04 17:58:10	11	LA FALDA esq. ING CESAR CIPOLLETTI
-62.28061	-38.67924	2016/01/04 18:20:01	3	PIGUE 270
-62.26932	-38.75399	2016/01/04 18:58:16	3	HONDURAS 210
-62.29817	-38.70238	2016/01/04 19:06:01	3	VIAMONTE 240
-62.27664	-38.74438	2016/01/04 19:10:55	7	PEDRO PICO 180
-62.27768	-38.70029	2016/01/04 19:19:35	3	GUATEMALA 300
-62.25004	-38.75743	2016/01/04 19:21:54	3	CNEL NICOLAS GRANADA 300
-62.32368	-38.71283	2016/01/04 19:23:06	6	PACIFICO 330
-62.29454	-38.72855	2016/01/04 19:41:50	16	PAMPA CENTRAL 600
-62.31772	-38.71977	2016/01/04 20:45:13	1	SGTO MAYOR ITURRA 210
-62.22173	-38.73914	2016/01/04 20:54:42	3	PATAGONES 600
-62.2622	-38.71722	2016/01/04 21:43:41	3	SOLER 
-62.27855	-38.71226	2016/01/04 21:45:00	6	BRAVARD esq. VIEYTES
-62.28457	-38.70765	2016/01/04 21:55:06	0	BRASIL esq. VIEYTES
-62.3245	-38.71652	2016/01/04 22:03:33	3	COLORADOS DEL MONTE (EX PRONSATO) 270
-62.34109	-38.69217	2016/01/04 22:06:41	3	FRANCISCA HERNANDEZ 150
-62.28963	-38.71509	2016/01/04 22:11:07	3	ENTRE RIOS 600
-62.25398	-38.71852	2016/01/04 22:31:20	11	BRANDSEN 500 AL 600
-62.26049	-38.72382	2016/01/04 22:31:38	3	UNDIANO 
-62.30681	-38.70646	2016/01/04 22:35:57	3	NICOLAS PIREZ 900
-62.27551	-38.74004	2016/01/04 22:55:44	3	TIERRA DEL FUEGO 600
-62.25912	-38.7742	2016/01/04 23:24:36	3	GUAYAQUIL 330
-62.28276	-38.67604	2016/01/05 00:07:19	17	ESTEBAN RIGAMONTI 120
-62.31229	-38.71488	2016/01/05 00:29:50	3	PAMPA CENTRAL 210
-62.25281	-38.71123	2016/01/05 01:39:26	3	RINCON 300
-62.22844	-38.74454	2016/01/05 03:30:25	3	PATAGONES 
-62.27637	-38.71569	2016/01/05 07:26:18	8	PATRICIOS esq. GUEMES
-62.22285	-38.72729	2016/01/05 07:57:33	3	JUAN BAUTISTA BAIGORRIA 240
-62.25022	-38.73983	2016/01/05 08:15:21	3	FEDERICO BAEZA 180
-62.2466	-38.71592	2016/01/05 08:29:17	3	RINCON 600
